pergunta;opcao1;opcao2;opcao3;opcao4;opcao5
Qual é a capital do Brasil?;Rio de Janeiro;São Paulo;Brasília;Belém;Salvador
Quem escreveu "Dom Quixote"?;Miguel de Cervantes;William Shakespeare;Jorge Luis Borges;;
Qual é o maior planeta do sistema solar?;Júpiter;Saturno;Marte;Vênus;Urano
Quem pintou a Mona Lisa?;Leonardo da Vinci;Pablo Picasso;Vincent van Gogh;;
Qual é o metal mais abundante na crosta terrestre?;Ferro;Ouro;Prata;Cobre;Alumínio
Qual é a raiz quadrada de 16?;2;4;8;;
Qual é o rio mais longo do mundo?;Rio Nilo;Rio Amazonas;Rio Mississipi;;
Qual é o número atômico do carbono?;6;12;24;;
Qual é o livro mais vendido de todos os tempos?;Bíblia Sagrada;Dom Quixote;O Senhor dos Anéis;;
Quem foi o primeiro presidente do Brasil?;Deodoro da Fonseca;Getúlio Vargas;Juscelino Kubitschek;;
Qual é o símbolo químico do ouro?;Au;Ag;Fe;Pt;
Quantas estrelas têm na bandeira dos Estados Unidos?;50;13;10;;
Qual é o maior oceano do mundo?;Pacífico;Atlântico;Índico;Ártico;Antártico
Quem foi o primeiro homem a pisar na Lua?;Neil Armstrong;Buzz Aldrin;Yuri Gagarin;;
Qual é o segundo planeta do sistema solar?;Vênus;Terra;Marte;Júpiter;Saturno
Qual é o nome da famosa estátua no Rio de Janeiro?;Cristo Redentor;Estátua da Liberdade;Estatua de Zeus;;
Quem foi o inventor da lâmpada elétrica?;Thomas Edison;Nikola Tesla;Alexander Graham Bell;;
Qual é o idioma oficial da Austrália?;Inglês;Espanhol;Francês;;
Quantas patas tem uma aranha?;8;6;10;;
Quem é considerado o pai da psicanálise?;Sigmund Freud;Carl Jung;Ivan Pavlov;;
Qual é a cor do cavalo branco de Napoleão?;Branco;Preto;Cinza;;
Quantos anos tem um milênio?;1000;500;2000;;
Qual é o segundo idioma mais falado no mundo?;Espanhol;Inglês;Francês;Mandarim;Hindi
Quem pintou "A Noite Estrelada"?;Vincent van Gogh;Pablo Picasso;Leonardo da Vinci;;
Quantos elementos químicos naturais existem?;90;118;92;;
Qual é a montanha mais alta do mundo?;Monte Everest;Monte Kilimanjaro;Monte Fuji;;
Qual é o maior deserto do mundo?;Deserto do Saara;Deserto de Gobi;Deserto do Atacama;;
Qual é a data da Independência do Brasil?;7 de Setembro;15 de Novembro;25 de Abril;;
Quem é conhecido como "O Príncipe das Trevas"?;Ozzy Osbourne;Alice Cooper;Gene Simmons;;
Qual é o país mais populoso do mundo?;China;Índia;Estados Unidos;;
Quem é o autor de "A Metamorfose"?;Franz Kafka;Fiodor Dostoievski;Gabriel García Márquez;;
Qual é o nome do primeiro computador criado?;ENIAC;UNIVAC;IBM 701;;
Qual é o animal mais rápido do mundo?;Peregrine Falcon;Cheetah;Pronghorn;;
Qual é o átomo mais leve da tabela periódica?;Hidrogênio;Hélio;Lítio;;
Quem é considerado o maior jogador de futebol de todos os tempos?;Pelé;Diego Maradona;Lionel Messi;;
Qual é o maior mamífero terrestre do mundo?;Elefante Africano;Baleia Azul;Girafa;;
Quem é o criador do Facebook?;Mark Zuckerberg;Bill Gates;Elon Musk;;
Qual é a bebida mais consumida no mundo?;Água;Chá;Café;;
Qual é o maior animal do mundo?;Baleia Azul;Elefante Africano;Girafa;;
Quem escreveu "Cem Anos de Solidão"?;Gabriel García Márquez;Mario Vargas Llosa;Jorge Luis Borges;;
Qual é o maior estado do Brasil em área territorial?;Amazonas;Mato Grosso;Pará;;
Qual é o sobrenome do físico que formulou a teoria da relatividade?;Einstein;Newton;Hawking;;
Quem foi o primeiro astronauta a dar uma volta na Lua?;Buzz Aldrin;Neil Armstrong;Yuri Gagarin;;
Qual é a primeira lei de Newton?;Lei da Inércia;Lei da Ação e Reação;Lei da Gravitação Universal;;
Qual é o maior animal terrestre do mundo?;Elefante Africano;Rinoceronte;Hipopótamo;;
Quem é o criador da obra "Guernica"?;Pablo Picasso;Vincent van Gogh;Leonardo da Vinci;;
Quem é o autor de "O Príncipe"?;Nicolau Maquiavel;Thomas Hobbes;Karl Marx;;
Qual é a capital da Rússia?;Moscou;São Petersburgo;Kiev;;
Qual é o número de lados de um heptágono?;7;6;8;;
Qual é o dia da Independência dos Estados Unidos?;4 de Julho;14 de Julho;15 de Setembro;;
Quem foi o primeiro rei do Brasil?;Dom Pedro I;Dom João VI;Dom Pedro II;;
Quem é conhecido como "O Pintor do Sol"?;Claude Monet;Vincent van Gogh;Salvador Dalí;;
